Sample,Vrt,Rt,F,8.8
138,1.299846,8.030996,86.177864,0x562D
139,1.303522,8.061063,86.015828,0x5604
140,1.307198,8.091185,85.860988,0x55DC
141,1.310874,8.121361,85.706675,0x55B4
142,1.314551,8.151593,85.552080,0x558D
143,1.318227,8.181881,85.397202,0x5565
144,1.321903,8.212223,85.242039,0x553D
145,1.325579,8.242622,85.086591,0x5516
146,1.329256,8.273077,84.930858,0x54EE
147,1.332932,8.303587,84.774838,0x54C6
148,1.336608,8.334154,84.618532,0x549E
149,1.340284,8.364777,84.461937,0x5476
150,1.343961,8.395456,84.305053,0x544E
151,1.347637,8.426193,84.150145,0x5426
152,1.351313,8.456985,83.999528,0x53FF
153,1.354989,8.487835,83.848631,0x53D9
154,1.358666,8.518742,83.697456,0x53B2
155,1.362342,8.549707,83.546000,0x538B
156,1.366018,8.580728,83.394263,0x5364
157,1.369694,8.611808,83.242245,0x533E
158,1.373371,8.642945,83.089944,0x5317
159,1.377047,8.674140,82.937360,0x52EF
160,1.380723,8.705393,82.784491,0x52C8
161,1.384399,8.736704,82.631338,0x52A1
162,1.388076,8.768074,82.477899,0x527A
163,1.391752,8.799502,82.327710,0x5253
164,1.395428,8.830989,82.180879,0x522E
165,1.399104,8.862535,82.033774,0x5208
166,1.402781,8.894140,81.886394,0x51E2
167,1.406457,8.925804,81.738737,0x51BD
168,1.410133,8.957528,81.590803,0x5197
169,1.413809,8.989311,81.442591,0x5171
170,1.417486,9.021154,81.294101,0x514B
171,1.421162,9.053057,81.145332,0x5125
172,1.424838,9.085019,80.996282,0x50FF
173,1.428514,9.117042,80.846952,0x50D8
174,1.432191,9.149126,80.697340,0x50B2
175,1.435867,9.181270,80.549911,0x508C
176,1.439543,9.213475,80.406779,0x5068
177,1.443219,9.245741,80.263375,0x5043
178,1.446896,9.278067,80.119701,0x501E
179,1.450572,9.310455,79.975754,0x4FF9
180,1.454248,9.342905,79.831534,0x4FD4
181,1.457924,9.375416,79.687040,0x4FAF
182,1.461601,9.407989,79.542271,0x4F8A
183,1.465277,9.440624,79.397227,0x4F65
184,1.468953,9.473321,79.251907,0x4F40
185,1.472629,9.506080,79.106310,0x4F1B
186,1.476306,9.538902,78.960435,0x4EF5
187,1.479982,9.571787,78.814281,0x4ED0
188,1.483658,9.604734,78.674067,0x4EAC
189,1.487334,9.637745,78.534258,0x4E88
190,1.491011,9.670818,78.394182,0x4E64
191,1.494687,9.703955,78.253836,0x4E40
192,1.498363,9.737156,78.113222,0x4E1C
193,1.502039,9.770420,77.972337,0x4DF8
194,1.505716,9.803749,77.831181,0x4DD4
195,1.509392,9.837141,77.689754,0x4DB0
196,1.513068,9.870598,77.548055,0x4D8C
197,1.516745,9.904120,77.406082,0x4D67
198,1.520421,9.937706,77.263835,0x4D43
199,1.524097,9.971357,77.121313,0x4D1F
200,1.527773,10.005073,76.979710,0x4CFA
201,1.531450,10.038854,76.844585,0x4CD8
202,1.535126,10.072701,76.709198,0x4CB5
203,1.538802,10.106613,76.573548,0x4C92
204,1.542478,10.140591,76.437636,0x4C70
205,1.546155,10.174635,76.301459,0x4C4D
206,1.549831,10.208746,76.165017,0x4C2A
207,1.553507,10.242923,76.028309,0x4C07
208,1.557183,10.277166,75.891336,0x4BE4
209,1.560860,10.311476,75.754095,0x4BC1
210,1.564536,10.345854,75.616586,0x4B9D
211,1.568212,10.380298,75.478808,0x4B7A
212,1.571888,10.414810,75.340761,0x4B57
213,1.575565,10.449389,75.202443,0x4B33
214,1.579241,10.484036,75.066814,0x4B11
215,1.582917,10.518752,74.930972,0x4AEE
216,1.586593,10.553535,74.794863,0x4ACB
217,1.590270,10.588387,74.658487,0x4AA8
218,1.593946,10.623307,74.521842,0x4A85
219,1.597622,10.658296,74.384928,0x4A62
220,1.601298,10.693354,74.247744,0x4A3F
221,1.604975,10.728482,74.110289,0x4A1C
222,1.608651,10.763678,73.972563,0x49F8
223,1.612327,10.798945,73.834564,0x49D5
224,1.616003,10.834281,73.696292,0x49B2
225,1.619680,10.869687,73.557746,0x498E
226,1.623356,10.905163,73.418926,0x496B
227,1.627032,10.940710,73.289443,0x494A
228,1.630708,10.976328,73.161220,0x4929
229,1.634385,11.012016,73.032742,0x4908
230,1.638061,11.047776,72.904008,0x48E7
231,1.641737,11.083606,72.775017,0x48C6
232,1.645413,11.119509,72.645769,0x48A5
